result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
13.72,+0.3,SYR,Atlanta GA,USA,1996-07-27,Ghada Shouaa,1972,Female,100H,NR
16.52,,TAN,Nairobi,KEN,1995-05-20,Zulpha Muhammed,,Female,100H,NR
14.35,,TGA,Melbourne,AUS,1997-03-02,Siulolo Liku,1974,Female,100H,NR
12.83,+1.9,THA,Sevilla,ESP,1999-08-27,Trecia Roberts,1971,Female,100H,NR
12.65,0.0,TJK,Sochi,URS,1984-05-19,Nadezhda Korshunova,1961,Female,100H,NR
12.89,-0.8,TKM,Moskva,RUS,1994-05-29,Natalya Yudakova,1965,Female,100H,NR
17.33,+1.7,TKS,Basseterre,SKN,2015-04-04,Sanadia Forbes,,Female,100H,NR
13.60,-0.2,TOG,Caen,FRA,2022-06-26,Naomi Akakpo,2000,Female,100H,NR
12.93,0.0,TPE,München,FRG,1970-07-12,Chi Cheng,1944,Female,100H,NR
12.85,+1.1,TTO,Greensboro NC,USA,2010-05-29,Aleesha Barber,1987,Female,100H,NR
14.23,+0.3,TUN,Cairo,EGY,2019-04-05,Nada Cheroudi,1987,Female,100H,NR
12.63,-0.5,TUR,Barcelona,ESP,2010-07-31,Nevin Yanıt,1986,Female,100H,NR
14.59,,UAE,Sharjah,UAE,2018-02-10,Jawaher Farid Abdullah,,Female,100H,NR
13.92,,UGA,El Djezair,ALG,1978-07-21,Ruth Kyalisima,1955,Female,100H,NR
12.39,+1.8,UKR,Kyiv,URS,1991-07-11,Natalya Grigoryeva,1962,Female,100H,NR
12.83,+1.6,URS,Helsinki,FIN,1983-08-13,Natalya Petrova,1957,Female,100H,NR
14.61,+1.0,URU,Buenos Aires,ARG,2014-02-08,Déborah Rodríguez,1992,Female,100H,NR
12.20,+0.3,USA,London,GBR,2016-07-22,Kendra Harrison,1992,Female,100H,NR
13.00,-0.2,UZB,Almaty,KAZ,2016-06-25,Valentina Kibalnikova,1990,Female,100H,NR
15.68,-1.9,VAN,Suva,FIJ,1979-07-09,Leitaou Essaou,,Female,100H,NR
12.87,+1.8,VEN,Fayetteville AR,USA,2022-05-28,Yoveiny Mota,2000,Female,100H,NR
13.36,+1.6,VIE,B.S. Begawan,BRU,1999-08-09,Vu Bich Huong,1969,Female,100H,NR
13.92,,VIN,Minneapolis MN,USA,1992-05-10,Yvette Haynes,,Female,100H,NR
18.0,,YEM,Aden,YEM,1985-05-14,Hikmat Bartouche,,Female,100H,NR
19.51,+1.6,ZAM,Windhoek,NAM,2005-07-05,Rebecca Chisanga,,Female,100H,NR
13.50,-0.6,ZIM,Marietta GA,USA,2022-07-02,Ashley Miller,1998,Female,100H,NR
