result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1:06:09,ISR,Praha,CZE,2019-04-06,Lonah Chemtai Salpeter,1988.0,Female,HM,NR,Outdoor
1:16:23,ISV,Philadelphia,USA,2004-09-19,Lisha Hamilton,1972.0,Female,HM,NR,Outdoor
1:07:46,ITA,Ostia,ITA,2012-02-26,Valeria Straneo,1976.0,Female,HM,NR,Outdoor
1:28:20,JAM,Negril,JAM,2006-12-02,Tamica Thomas,1985.0,Female,HM,NR,Outdoor
1:15:01,JOR,London,GBR,2019-03-10,Tamara Armoush,1992.0,Female,HM,NR,Outdoor
1:06:38,JPN,Houston,USA,2020-01-19,Hitomi Niiya,1988.0,Female,HM,NR,Outdoor
1:11:44,KAZ,Almaty,KAZ,2000-08-12,Garifa Kuku,1959.0,Female,HM,NR,Outdoor
1:04:02,KEN,Istanbul,TUR,2021-04-04,Ruth Chepngetich,1994.0,Female,HM,NR,Outdoor
1:11:06,KGZ,Yangzhou,CHN,2017-04-23,Darya Maslova,1995.0,Female,HM,NR,Outdoor
1:08:35,KOR,Marugame,JPN,2020-02-02,Choi Kyung-Sun,1992.0,Female,HM,NR,Outdoor
1:17:24,KOS,Split,CRO,2022-02-28,Greza Bakraqi,1995.0,Female,HM,NR,Outdoor
1:26:47,KSA,Houston,USA,2018-01-14,Sarah Attar,1992.0,Female,HM,NR,Outdoor
1:33:33,KUW,Al-Kuwait,KUW,2022-11-26,Fatima Al-Hajeri,,Female,HM,NR,Outdoor
1:19:22,LAO,Buri Ram,THA,2024-01-27,Lodkeo Inthakoumman,1995.0,Female,HM,NR,Outdoor
1:08:43,LAT,Bristol,GBR,2001-10-07,Jeļena Prokopčuka,1976.0,Female,HM,NR,Outdoor
1:20:40,LBA,Verona,ITA,2020-02-16,Najla Aqdeir Ali Salem,,Female,HM,NR,Outdoor
1:16:02,LBN,The Woodlands,USA,2021-03-06,Chirine Njeim,1984.0,Female,HM,NR,Outdoor
1:24:58,LBR,Boston,USA,2001-10-14,Monique Maddy,,Female,HM,NR,Outdoor
1:57:15,LCA,Negril,JAM,2010-12-04,Lizette Ward,,Female,HM,NR,Outdoor
1:09:45,LES,Gqeberha,RSA,2023-06-03,Mokulube Makatise,1995.0,Female,HM,NR,Outdoor
1:21:48,LIE,Oberriet,SUI,2014-03-23,Nicole Klingler,1980.0,Female,HM,NR,Outdoor
1:10:23,LTU,Budapest,HUN,2005-11-06,Živilė Balčiūnaitė,1979.0,Female,HM,NR,Outdoor
1:10:56,LUX,Grevenmacher,LUX,1986-09-21,Danièle Kaber,1960.0,Female,HM,NR,Outdoor
1:23:05,MAC,Macau,MAC,2021-05-12,Hoi Long,1984.0,Female,HM,NR,Outdoor
1:15:43,MAD,Uster,SUI,1998-09-27,Clarisse Rasoarizy,1971.0,Female,HM,NR,Outdoor
