result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
14.91,1.1,USA,Chula Vista,USA,2021-04-25,Keturah Orji,1996,Female,TJ,NR,Outdoor
14.55,1.8,UZB,Haniá,GRE,2005-06-06,Anastasiya Juravlyeva,1981,Female,TJ,NR,Outdoor
12.04,-0.9,VAN,Honiara,SOL,2023-11-30,Lyza Malres,,Female,TJ,NR,Outdoor
15.67,0.7,VEN,Tokyo,JPN,2021-08-01,Yulimar Rojas,1995,Female,TJ,NR,Outdoor
14.15,0.1,VIE,Kuala Lumpur,MAS,2017-08-23,Vu Thi Men,1990,Female,TJ,NR,Outdoor
14.07,1.6,VIN,Walnut,USA,2023-04-15,Mikeisha Welcome,2000,Female,TJ,NR,Outdoor
8.75,,YEM,Amman,JOR,2007-10-27,Hana Srouri,1991,Female,TJ,NR,Outdoor
11.06,,ZAM,Kabwe,ZAM,1991-09-29,Victoria Mwase,,Female,TJ,NR,Outdoor
13.09,,ZIM,Johannesburg,RSA,2020-03-14,Catherine Makaya,1995,Female,TJ,NR,Outdoor
13.88,,AIA,Blacksburg,USA,2010-02-06,Shara Proctor,1988,Female,TJ,NR,Indoor
13.14,,ALB,Pireás,GRE,1997-02-21,Vera Bitanji,1969,Female,TJ,NR,Indoor
14.31,,ALG,Birmingham,GBR,2003-03-15,Baya Rahouli,1979,Female,TJ,NR,Indoor
12.40,,AND,Antequera,ESP,2015-02-21,Claudia Guri,1995,Female,TJ,NR,Indoor
13.82,,ANG,Aubière,FRA,2003-03-01,Teresa Nzola Meso Ba,1983,Female,TJ,NR,Indoor
13.66,,ARG,Toronto,CAN,1993-03-13,Andrea Ávila,1970,Female,TJ,NR,Indoor
13.40,,ARM,Tbilisi,GEO,2022-02-20,Yana Sargsyan,2000,Female,TJ,NR,Indoor
13.31,,AUS,Budapest,HUN,2004-03-05,Nicole Mladenis,1975,Female,TJ,NR,Indoor
13.67,,AUT,Genova,ITA,1992-02-29,Ljudmila Ninova,1960,Female,TJ,NR,Indoor
13.56,,AZE,Baku,AZE,2024-01-26,Yekaterina Sariyeva,1995,Female,TJ,NR,Indoor
14.88,,BAH,Albuquerque,USA,2023-03-11,Charisma Taylor,1999,Female,TJ,NR,Indoor
13.24,,BAR,Fayetteville,USA,2008-03-15,Seidre Forde,1985,Female,TJ,NR,Indoor
14.31,,BEL,Gent,BEL,2011-02-13,Svetlana Bolshakova,1984,Female,TJ,NR,Indoor
13.19,,BER,Boston,USA,2012-02-25,Jasmine Brunson,1991,Female,TJ,NR,Indoor
12.11,,BIH,Zenica,BIH,2011-02-12,Andjela Kovacevic,1993,Female,TJ,NR,Indoor
14.48,,BLR,Gomel,BLR,2012-01-27,Aksinnia Dzetsuk,1986,Female,TJ,NR,Indoor
14.48,,BLR,Gomel,BLR,2012-01-27,Kseniya Datsuk,1986,Female,TJ,NR,Indoor
14.11,,BRA,Moskva,RUS,2006-03-10,Keila Costa,1983,Female,TJ,NR,Indoor
14.94,,BUL,Maebashi,JPN,1999-03-07,Iva Prandzheva,1972,Female,TJ,NR,Indoor
12.94,,BUR,Lyon,FRA,2013-03-16,Christophele Ouattara,1995,Female,TJ,NR,Indoor
14.02,,CAN,Notre Dame,USA,2007-03-03,Tabia Charles,1985,Female,TJ,NR,Indoor
12.46,,CHI,Cochabamba,BOL,2024-01-28,Rocio Fernanda Munoz,2001,Female,TJ,NR,Indoor
14.40,,CHN,Shanghai,CHN,2002-03-10,Huang Qiuyan,1980,Female,TJ,NR,Indoor
13.20,,CIV,Fayetteville,USA,2003-03-15,Patricia Soman-Shunk,1981,Female,TJ,NR,Indoor
14.88,,CMR,Birmingham,GBR,2003-03-15,Françoise Mbango,1976,Female,TJ,NR,Indoor
12.92,,COD,UNKNOWN,???,1997-02-08,Carine Kanda,1980,Female,TJ,NR,Indoor
13.55,,CRO,Zagreb,CRO,2019-02-02,Paola Borovic,1995,Female,TJ,NR,Indoor
