Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
AL;1;11H;MJU20;15.47;0.3;Complexo Desportivo das Laranjeiras;POR;Outdoor;2026-03-13;Afonso;Cordeiro;POR;;Male;15173913
AL;1;60M;MJU20;6.65;;Olympic Sports Complex of Paiania;GRE;Indoor;2026-02-28;Antonios;Katsantonis;CYP;2007;Male;15233104
AL;1;3K0;WJU20;9:05.82;;Eva Lisa Holtz Arena;SWE;Indoor;2026-02-01;Carmen;Cernjul;SWE;2007;Female;14953813
AL;1;10G;WJU20;51:55.31;;Olimpiyets Arena;BLR;Indoor;2026-02-20;Valeryia;Rusinovich;BLR;2008;Female;15075155
AL;1;2KH;WJU20;7:29.11;;Hadar Yosef Stadium;ISR;Outdoor;2026-02-09;Shelly;Katz;ISR;2008;Female;15092519
AL;1;400;MJU20;45.64;;Atletická hala;CZE;Indoor;2026-02-22;Tomáš;Horák;CZE;2008;Male;15111690
AL;1;100;WJU20;11.93;0.7;Stade du;FRA;Outdoor;2026-03-14;Aaliyah;Vanoukia;FRA;2007;Female;15048927
AL;1;100;WJU20;11.93;;Lee Valley Athletics Centre;GBR;Indoor;2026-03-08;Honor;Oteng;GBR;;Female;15121646
AL;1;2K0;WJU20;6:02.83;;Expocentro;POR;Indoor;2026-01-25;Mariana;Moreira;POR;2008;Female;15009659
AL;1;60M;WJU20;7.21;;Palaindoor Ancona;ITA;Indoor;2026-03-01;Kelly;Ann Maevane Doualla Edimo;ITA;2009;Female;15022410
AL;1;300;WJU20;37.75;;Atletická hala;CZE;Indoor;2026-01-03;Johanka;Šafářová;CZE;2007;Female;14986228
AL;1;60H;MJU20;7.64;;Bærum Idrettspark;NOR;Indoor;2026-02-14;Anthony;Ommundsen Johnsen;NOR;2007;Male;15099049
AL;1;10H;WJU20;15.08;0.6;Edwards Stadium;USA;Outdoor;2026-03-21;Merle;Weber;GER;2007;Female;14999880
AL;1;5G;WJU20;22:51.3;;Slava Metreveli Stadium;RUS;Outdoor;2026-02-17;Anastasiya;Afanasova;RUS;2010;Female;15177093
AL;1;MEI;MJU20;3:58.89;;Boston Univ. Track & Tennis Center;USA;Indoor;2026-02-13;Pol;Molins;ESP;2007;Male;15105361
AL;1;DIS;WJU20;54.1;;Regional Sport Complex;BLR;Outdoor;2026-03-07;Darya;Vasilchyk;BLR;2007;Female;15056241
AL;1;600;MJU20;1:17.14;;Velesajam Hall;CRO;Indoor;2026-01-31;Benjamin;Lakošeljac;SLO;2007;Male;15068514
AL;1;60H;WJU20;8.08;;Palaindoor Ancona;ITA;Indoor;2026-02-28;Alessia;Succo;ITA;2009;Female;15025212
AL;1;MEI;WJU20;4:40.61;;Fall Creek Pavilion;USA;Indoor;2026-03-02;Pauline;Schedler;AUT;2007;Female;15039128
AL;1;STA;MJU20;5.7;;Complexe Kindarena;FRA;Indoor;2026-03-07;Zackaria;Dia;FRA;2008;Male;15133094
AL;1;3G;MJU20;12:21.98;;Olimpiyets Arena;BLR;Indoor;2026-01-25;Vadzim;Yatsyna;BLR;2007;Male;15143898
AL;1;200;MJU20;20.65;;Atletická hala;CZE;Indoor;2026-03-01;Tomáš;Horák;CZE;2008;Male;15111690
AL;1;5K0;MJU20;14:34.67;;Gately Indoor TF Center;USA;Indoor;2026-02-06;Cillian;Gleeson;IRL;2007;Male;15121698
AL;1;4×4;XJU20;3:30.64;;President Valdas Adamkus athletics indoor arena;LTU;Indoor;2026-02-14;Latvia;U20;LAT;;Mixed;
AL;1;HAM;MJU20;62.69;;GPS Stadium;CYP;Outdoor;2026-03-25;Alexandros;Ghamrawi;CYP;2008;Male;15019714
AL;1;HOC;WJU20;1.92;;Palaindoor O. Bernes;ITA;Indoor;2026-02-04;Lilianna;Bátori;HUN;2007;Female;14935219
AL;1;HOC;WJU20;1.92;;Palaindoor O. Bernes;ITA;Indoor;2026-02-04;Lilianna;Bátori;HUN;2007;Female;14935219
AL;1;50H;WJU20;7.43;;Salle du Centre Mondial du Cyclisme;SUI;Indoor;2026-01-17;Nessa;Burkhardt;SUI;;Female;15061158
AL;1;800;MJU20;1:47.19;;Emirates Arena;GBR;Indoor;2026-03-01;Matthew;Mckenna;GBR;2007;Male;15093126
AL;1;DIS;MJU20;55.35;;Olympic Training and Sports Center;UKR;Outdoor;2026-02-14;Yaroslav;Lystopad;UKR;2007;Male;15017638
AL;1;400;WJU20;52.5;;Kujawsko-Pomorska Arena;POL;Indoor;2026-03-01;Anastazja;Kuś;POL;2007;Female;14954279
AL;1;SPE;MJU20;73.37;;GPS Stadium;CYP;Outdoor;2026-03-15;Pietro;Villa;ITA;2007;Male;15058772
AL;1;4×4;WJU20;3:38.01;;Sala de Atletism Ioan Soter;ROU;Indoor;2026-03-08;CS;Dinamo;ROU;;Female;
AL;1;200;WJU20;23.28;;English Institute of Sport;GBR;Indoor;2026-02-08;Sophie;Thomas;GBR;2007;Female;15034140
