code,type,discipline,result,wind,venue,venueCountry,venueCity,environment,date,name,firstname,lastname,nation,yearOfBirth,sex
AL,4,600,1:14.52,,McArthur Stadium,RSA,Potchefstroom,Outdoor,2024-03-14,,Slimane,Moula,ALG,1999.0,Male
AL,4,10H,13.18,-0.8,Pilditch Stadium,RSA,Pretoria,Outdoor,2024-02-10,,Taylon,Bieldt,RSA,1998.0,Female
AL,4,1K0,2:37.26,,Dempsey Indoor,USA,"Seattle, WA",Indoor,2024-01-26,,Dorcas,Ewoi,KEN,,Female
AL,4,60H,7.66,,Halle Michel d'Ornano,FRA,Mondeville,Indoor,2024-02-07,,Saguirou,Badamassi,NIG,2000.0,Male
AL,4,MEI,3:51.91,,Boston Univ. Track & Tennis Center,USA,"Boston, MA",Indoor,2024-02-10,,Anass,Essayi,MAR,2001.0,Male
AL,4,40H,49.14,,National Stadium,BOT,Gaborone,Outdoor,2024-02-17,,Victor,Ntweng,BOT,1995.0,Male
AL,4,40H,58.63,,Pilditch Stadium,RSA,Pretoria,Outdoor,2024-03-08,,Tumi,Ramokgopa,RSA,2007.0,Female
AL,4,100,11.19,0.2,Stephen Keshi Stadium,NGR,Asaba,Outdoor,2024-02-18,,Olayinka,Olajide,NGR,2002.0,Female
AL,4,800,1:57.86,,Arena,POL,Toruń,Indoor,2024-02-06,,Habitam,Alemu,ETH,1997.0,Female
AL,4,DIS,58.43,,Jack Rose Track,USA,"Long Beach, CA",Outdoor,2024-03-02,,Chioma,Onyekwere,NGR,1994.0,Female
AL,4,STA,5.45,,Minnesota Fieldhouse,USA,"Minneapolis, MN",Indoor,2024-01-27,,Kyle,Rademeyer,RSA,2002.0,Male
AL,4,200,20.29,,Sports Performance Center,USA,"Lubbock, TX",Indoor,2024-01-13,,Tapiwanashe,Makarawu,ZIM,2000.0,Male
AL,4,DIS,58.16,,McArthur Stadium,RSA,Potchefstroom,Outdoor,2024-02-27,,Ryan,Williams,NAM,2000.0,Male
AL,4,WEI,8.3,1.3,Pilditch Stadium,RSA,Pretoria,Outdoor,2024-03-09,,Jovan,Van Vuuren,RSA,1996.0,Male
AL,4,10G,46:30.27,,Miloud HEDEFI Athletics Stadium,ALG,Oran,Outdoor,2024-03-01,,Souad,Azzi,ALG,1999.0,Female
AL,4,50M,5.71,,Field House,CAN,Saskatoon,Indoor,2024-01-26,,Usheoritse,Itsekiri,NGR,1998.0,Male
AL,4,KUG,17.79,,Bob Devaney Sports Center,USA,"Lincoln, NE",Indoor,2024-02-03,,Miné,De Klerk,RSA,2003.0,Female
AL,4,3K0,8:17.11,,Arena Stade Couvert,FRA,Liévin,Indoor,2024-02-10,,Gudaf,Tsegay,ETH,1997.0,Female
AL,4,4×1,46.4,,Nyayo National Stadium,KEN,Nairobi,Outdoor,2024-01-27,,,,KEN,,Female
AL,4,STA,4.11,,Omnisport,NED,Apeldoorn,Indoor,2024-01-27,,Mirè,Reinstorf,RSA,2002.0,Female
AL,4,STA,4.11,,Omnisport,NED,Apeldoorn,Indoor,2024-01-27,,Sydney,Rothman,RSA,2007.0,Female
