result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
2.00,High Jump,Asia,,KAZ,Almaty,KAZ,2021-06-08,Nadezhda Dubovitskaya,1998,women,Outdoor
2.09,High Jump,Europe,,BUL,Roma,ITA,1987-08-30,Stefka Kostadinova,1965,women,Outdoor
2.05,High Jump,NACAC,,USA,Des Moines IA,USA,2010-06-26,Chaunté Lowe,1984,women,Outdoor
2.03,High Jump,Oceania,,AUS,Eugene OR,USA,2023-09-17,Nicola Olyslagers,1996,women,Outdoor
1.96,High Jump,South America,,ARG,Oristano,ITA,1997-09-08,Solange Witteveen,1976,women,Outdoor
69.35,Javelin Throw,Africa,,RSA,New York NY,USA,2012-06-09,Sunette Viljoen,1983,women,Outdoor
67.98,Javelin Throw,Asia,,CHN,Shenyang,CHN,2019-08-02,Lu Huihui,1989,women,Outdoor
72.28,Javelin Throw,Europe,,CZE,Stuttgart,GER,2008-09-13,Barbora Špotáková,1981,women,Outdoor
71.70,Javelin Throw,NACAC,,CUB,Helsinki,FIN,2005-08-14,Osleidis Menéndez,1979,women,Outdoor
68.92,Javelin Throw,Oceania,,AUS,Gold Coast,AUS,2018-04-11,Kathryn Mitchell,1982,women,Outdoor
65.47,Javelin Throw,South America,,COL,Budapest,HUN,2023-08-25,Flor Dennis Ruiz,1991,women,Outdoor
7.17,Long Jump,Africa,+1.1,NGR,Chula Vista CA,USA,2021-05-29,Ese Brume,1996,women,Outdoor
7.01,Long Jump,Asia,+1.4,CHN,Jinan,CHN,1993-06-04,Yao Weili,1965,women,Outdoor
7.52,Long Jump,Europe,+1.4,RUS,Leningrad,URS,1988-06-11,Galina Cistjaková,1962,women,Outdoor
7.49,Long Jump,NACAC,+1.3,USA,New York NY,USA,1994-05-22,Jackie Joyner-Kersee,1962,women,Outdoor
7.49,Long Jump,NACAC,+1.7,USA,Sestriere,ITA,1994-07-31,Jackie Joyner-Kersee,1962,women,Outdoor
7.13,Long Jump,Oceania,+1.8,AUS,Chula Vista CA,USA,2022-07-09,Brooke Buschkuehl,1993,women,Outdoor
7.26,Long Jump,South America,+1.8,BRA,Bogotá,COL,1999-06-26,Maurren Higa Maggi,1976,women,Outdoor
2:14:04,Marathon,Africa,,KEN,Chicago IL,USA,2019-10-13,Brigid Kosgei,1994,women,Outdoor
