result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,code,discipline,type
7.58,,BRA,Berlin,GER,2022-02-04,Rafael Henrique Pereira,1997.0,Male,Indoor,AR,60H,3
7.58,,BRA,Mondeville,FRA,2022-02-09,Rafael Henrique Pereira,1997.0,Male,Indoor,AR,60H,3
7.58,,BRA,Val-de-Reuil,FRA,2022-02-14,Rafael Henrique Pereira,1997.0,Male,Indoor,AR,60H,3
7.58,,BRA,Cochabamba,BOL,2022-02-20,Rafael Henrique Pereira,1997.0,Male,Indoor,AR,60H,3
7.58,,BRA,Beograd,SRB,2022-03-20,Rafael Henrique Pereira,1997.0,Male,Indoor,AR,60H,3
1:43.98,,KEN,New York NY,USA,2019-02-09,Michael Saruni,1995.0,Male,Indoor,AR,800,4
1:45.26,,BRN,Valencia,ESP,2008-03-09,Youssef Saad Kamel,1981.0,Male,Indoor,AR,800,5
1:42.67,,DEN,Paris,FRA,1997-03-09,Wilson Kipketer,1972.0,Male,Indoor,AR,800,1
1:44.21,,USA,Staten Island NY,USA,2021-02-13,Donavan Brazier,1997.0,Male,Indoor,AR,800,2
1:45.59,,AUS,Fayetteville AR,USA,2021-02-13,Charles Hunter,1996.0,Male,Indoor,AR,800,6
1:45.43,,BRA,Pireás,GRE,1989-03-08,José Luiz Barbosa,1961.0,Male,Indoor,AR,800,3
2.32,,NGR,Pátra,GRE,2000-02-15,Anthony Idiata,1975.0,Male,Indoor,AR,HOC,4
2.41,,QAT,Athlone,IRL,2015-02-18,Mutaz Essa Barshim,1991.0,Male,Indoor,AR,HOC,5
2.42,,GER,West Berlin,GER,1988-02-26,Carlo Thränhardt,1957.0,Male,Indoor,AR,HOC,1
2.43,,CUB,Budapest,HUN,1989-03-04,Javier Sotomayor,1967.0,Male,Indoor,AR,HOC,2
2.34,,NZL,Banská Bystrica,SVK,2023-02-14,Hamish Kerr,1996.0,Male,Indoor,AR,HOC,6
2.31,,BRA,Beograd,SRB,2022-03-20,Thiago Julio Moura,1995.0,Male,Indoor,AR,HOC,3
