result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
20.63,+1.0,UAE,Guangzhou,CHN,2010-11-24,Omar Juma Al-Salfa,1989,Male,200,NR
19.94,+0.6,UGA,Austin TX,USA,2023-06-07,Tarsis Orogot,2002,Male,200,NR
20.00,0.0,UKR,München,FRG,1972-09-04,Valeriy Borzov,1949,Male,200,NR
20.46,+1.2,URU,Ciudad de Guatemala,GUA,2002-05-12,Heber Viera,1979,Male,200,NR
19.31,+0.4,USA,Eugene OR,USA,2022-07-21,Noah Lyles,1997,Male,200,NR
21.04,+1.6,UZB,Tashkent,UZB,2007-05-25,Oleg Juravlyev,1982,Male,200,NR
21.57,-2.7,VAN,Cairns,AUS,2007-08-19,Moses Kamut,1982,Male,200,NR
20.58,+1.9,VEN,Fayetteville AR,USA,2008-05-30,José Acevedo,1986,Male,200,NR
20.74,0.0,VIE,Hanoi,VIE,2022-05-14,Ngan Ngoc Nghia,1998,Male,200,NR
20.76,+1.0,VIN,"Odessa,Tx.",USA,1995-05-19,Eswort Coombs,1972,Male,200,NR
22.27,+0.5,YEM,Oran,ALG,2023-07-06,Ahmed Al-Yaari,2000,Male,200,NR
20.16,+1.5,ZAM,La Chaux-de-Fonds,SUI,2019-06-30,Sydney Siame,1997,Male,200,NR
20.10,+1.3,ZIM,Lubbock TX,USA,2023-04-29,Tapiwa Makarawu,2000,Male,200,NR
