code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AR;4;1K0;M;2:14.20;;Stockholm;SWE;Indoor;2016-02-17;Ayanleh Souleiman;;;DJI;1992;Male
AR;1;1K0;M;2:14.96;;Birmingham;GBR;Indoor;2000-02-20;Wilson Kipketer;;;DEN;1972;Male
AR;2;1K0;M;2:14.74;;Brighton;USA;Indoor;2024-02-04;Marco Arop;;;CAN;1998;Male
AR;6;1K0;M;2:16.95;;Boston;USA;Indoor;2024-02-10;Jack Anstey;;;AUS;1997;Male
AR;3;100;M;10.42;;Tampere;FIN;Indoor;2006-02-04;Vicente de Lima;;;BRA;1977;Male
AR;4;1K5;M;3:31.04;;Birmingham;GBR;Indoor;2019-02-16;Samuel Tefera;;;ETH;1999;Male
AR;5;1K5;M;3:36.28;;Stockholm;SWE;Indoor;2007-02-20;Bilal Mansour Ali;;;BRN;1988;Male
AR;1;1K5;M;3:30.60;;Liévin;FRA;Indoor;2022-02-17;Jakob Ingebrigtsen;;;NOR;2000;Male
AR;6;1K5;M;3:32.35;;Staten Island;USA;Indoor;2021-02-13;Olli Hoare;;;AUS;1997;Male
AR;3;1K5;M;3:38.03;;Sabadell;ESP;Indoor;2022-02-08;Federico Bruno;;;ARG;1993;Male
AR;3;2K0;M;5:09.61;;Bordeaux;FRA;Indoor;2013-01-26;Federico Bruno;;;ARG;1993;Male
AR;4;200;M;19.92;;Liévin;FRA;Indoor;1996-02-18;Frank Fredericks;;;NAM;1967;Male
AR;5;200;M;20.63;;Maebashi;JPN;Indoor;1999-03-05;Koji Ito;;;JPN;1970;Male
AR;1;200;M;20.25;;Liévin;FRA;Indoor;1995-02-19;Linford Christie;;;GBR;1960;Male
AR;2;200;M;20.02;;College Station;USA;Indoor;2018-03-10;Elijah Hall-Thompson;;;USA;1994;Male
AR;6;200;M;20.71;;Toronto;CAN;Indoor;1993-03-14;Damien Marsh;;;AUS;1971;Male
AR;3;200;M;20.65;;Sindelfingen;FRG;Indoor;1989-02-26;Robson Caetano da Silva;;;BRA;1964;Male
AR;4;3K0;M;7:23.81;;Liévin;FRA;Indoor;2023-02-15;Lamecha Girma;;;ETH;2000;Male
AR;5;3K0;M;7:31.77;;Liévin;FRA;Indoor;2022-02-17;Birhanu Balew;;;BRN;1996;Male
AR;1;3K0;M;7:24.68;;Liévin;FRA;Indoor;2023-02-15;Mohamed Katir;;;ESP;1998;Male
AR;2;3K0;M;7:28.23;;Boston;USA;Indoor;2023-01-27;Yared Nuguse;;;USA;1999;Male
AR;6;3K0;M;7:34.50;;Boston;USA;Indoor;2008-01-26;Craig Mottram;;;AUS;1980;Male
AR;3;3K0;M;7:49.46;;Sevilla;ESP;Indoor;1991-03-10;Jacinto Navarrete;;;COL;1962;Male
AR;1;4×2;M;1:22.11;;Glasgow;GBR;Indoor;1991-03-03;Great Britain;;;GBR;;Male
AR;2;4×2;M;1:22.71;;Glasgow;GBR;Indoor;1991-03-03;United States;;;USA;;Male
AR;4;4×4;M;3:06.71;;Glasgow;GBR;Indoor;2024-03-03;Kenya;;;KEN;;Male
AR;5;4×4;M;3:05.90;;Maebashi;JPN;Indoor;1999-03-06;Japan;;;JPN;;Male
AR;1;4×4;M;3:01.77;;Birmingham;GBR;Indoor;2018-03-04;Poland;;;POL;;Male
AR;2;4×4;M;3:01.39;;College Station;USA;Indoor;2018-03-10;United States;;;USA;;Male
AR;6;4×4;M;3:03.88;;Brisbane;AUS;Indoor;2024-02-24;Australia;;;AUS;;Male
AR;3;4×4;M;3:10.50;;Paris;FRA;Indoor;1997-03-08;Brazil;;;BRA;;Male
AR;0;4×8;M;7:17.8;;Sofia;BUL;Indoor;1971-03-14;Soviet Union;;;URS;;Male
AR;2;4×8;M;7:11.30;;Boston;USA;Indoor;2018-02-25;United States;;;USA;;Male
