Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
AR;5;STA;W;4.72;;Shanghai;CHN;Outdoor;2019-05-18;Ling;Li;CHN;1989;Female
AR;5;WEI;W;7.01;1.4;Jinan;CHN;Outdoor;1993-06-04;Weili;Yao;CHN;1968;Female
AR;5;DRE;W;15.25;1.7;Split;CRO;Outdoor;2010-09-04;Olga;Rypakova;KAZ;1984;Female
AR;5;KUG;W;21.76;;Shijiazhuang;CHN;Outdoor;1988-04-23;Meisu;Li;CHN;1959;Female
AR;5;DIS;W;71.68;;Beijing;CHN;Outdoor;1992-03-14;Yanling;Xiao;CHN;1968;Female
AR;5;HAM;W;77.68;;Chengdu;CHN;Outdoor;2014-03-29;Zheng;Wang;CHN;1987;Female
AR;5;SPE;W;67.98;;Shenyang;CHN;Outdoor;2019-08-02;Huihui;Lyu;CHN;1989;Female
AR;5;100;W;10.79;0.0;Shanghai;CHN;Outdoor;1997-10-18;Xuemei;Li;CHN;1977;Female
AR;5;200;W;22.01;0.0;Shanghai;CHN;Outdoor;1997-10-22;Xuemei;Li;CHN;1977;Female
AR;5;400;W;48.14;;Doha;QAT;Outdoor;2019-10-03;Salwa;Eid Naser;BRN;1998;Female
AR;5;800;W;1:55.54;;Beijing;CHN;Outdoor;1993-09-09;Dong;Liu;CHN;1973;Female
AR;5;1K0;W;2:35.30;;Berlin;GER;Outdoor;2018-09-02;Nelly;Jepkosgei;BRN;1991;Female
AR;5;1K5;W;3:50.46;;Beijing;CHN;Outdoor;1993-09-11;Yunxia;Qu;CHN;1972;Female
AR;5;MEI;W;4:17.75;;Bruxelles;BEL;Outdoor;2007-09-14;Maryam;Yusuf Jamal;BRN;1984;Female
AR;5;2K0;W;5:29.41;;Beijing;CHN;Outdoor;1993-09-12;Junxia;Wang;CHN;1973;Female
AR;5;3K0;W;8:06.11;;Beijing;CHN;Outdoor;1993-09-13;Junxia;Wang;CHN;1973;Female
AR;5;5K0;W;14:28.09;;Shanghai;CHN;Outdoor;1997-10-23;Jiang;Bo;CHN;1977;Female
AR;5;10K;W;29:31.78;;Beijing;CHN;Outdoor;1993-09-08;Junxia;Wang;CHN;1973;Female
AR;5;10H;W;12.44;-0.8;Luzern;SUI;Outdoor;1995-06-27;Olga;Shishigina;KAZ;1968;Female
AR;5;40H;W;53.09;;Budapest;HUN;Outdoor;2023-08-24;Kemi;Adekoya;BRN;1993;Female
AR;5;3KH;W;8:50.66;;Eugene;USA;Outdoor;2023-09-16;Winfred;Mutile Yavi;BRN;1999;Female
AR;5;10G;W;41:37.9;;Beijing;CHN;Outdoor;1994-04-07;Hongmiao;Gao;CHN;1974;Female
AR;5;4×1;W;42.23;;Shanghai;CHN;Outdoor;1997-10-23;Sichuan;;CHN;;Female
AR;5;4×2;W;1:32.76;;Yokohama;JPN;Outdoor;2019-05-12;PR;Of China;CHN;;Female
AR;5;4×4;W;3:24.28;;Beijing;CHN;Outdoor;1993-09-13;Hebei;;CHN;;Female
AR;5;4×8;W;8:16.2;;Shanghai;CHN;Outdoor;1991-10-01;Liaoning;;CHN;;Female
